algorithm,dataset,n,epsilon,min_pts,repeat,total_time,num_clusters,num_noise
linear,clean_blobs,1000,0.03,5,0,1.500011421740055e-06,0,1000
quadtree,clean_blobs,1000,0.03,5,0,3.1999661587178707e-06,0,1000
boxgraph,clean_blobs,1000,0.03,5,0,2.700020559132099e-06,0,1000
linear,clean_blobs,1000,0.03,5,1,1.8999562598764896e-06,0,1000
quadtree,clean_blobs,1000,0.03,5,1,2.700020559132099e-06,0,1000
boxgraph,clean_blobs,1000,0.03,5,1,2.700020559132099e-06,0,1000
linear,clean_blobs,1000,0.03,5,2,2.00001522898674e-06,0,1000
quadtree,clean_blobs,1000,0.03,5,2,2.500019036233425e-06,0,1000
boxgraph,clean_blobs,1000,0.03,5,2,3.600027412176132e-06,0,1000
linear,clean_blobs,1000,0.05,5,0,1.8999562598764896e-06,0,1000
quadtree,clean_blobs,1000,0.05,5,0,3.500026650726795e-06,0,1000
boxgraph,clean_blobs,1000,0.05,5,0,2.7999631129205227e-06,0,1000
linear,clean_blobs,1000,0.05,5,1,2.00001522898674e-06,0,1000
quadtree,clean_blobs,1000,0.05,5,1,2.400018274784088e-06,0,1000
boxgraph,clean_blobs,1000,0.05,5,1,2.400018274784088e-06,0,1000
linear,clean_blobs,1000,0.05,5,2,1.800013706088066e-06,0,1000
quadtree,clean_blobs,1000,0.05,5,2,2.400018274784088e-06,0,1000
boxgraph,clean_blobs,1000,0.05,5,2,2.400018274784088e-06,0,1000
linear,clean_blobs,1000,0.075,5,0,1.800013706088066e-06,0,1000
quadtree,clean_blobs,1000,0.075,5,0,2.500019036233425e-06,0,1000
boxgraph,clean_blobs,1000,0.075,5,0,2.5999615900218487e-06,0,1000
linear,clean_blobs,1000,0.075,5,1,1.9000144675374031e-06,0,1000
quadtree,clean_blobs,1000,0.075,5,1,2.500019036233425e-06,0,1000
boxgraph,clean_blobs,1000,0.075,5,1,2.4999608285725117e-06,0,1000
linear,clean_blobs,1000,0.075,5,2,1.8999562598764896e-06,0,1000
quadtree,clean_blobs,1000,0.075,5,2,2.400018274784088e-06,0,1000
boxgraph,clean_blobs,1000,0.075,5,2,2.4999608285725117e-06,0,1000
linear,clean_blobs,1000,0.1,5,0,1.9000144675374031e-06,0,1000
quadtree,clean_blobs,1000,0.1,5,0,2.500019036233425e-06,0,1000
boxgraph,clean_blobs,1000,0.1,5,0,2.4999608285725117e-06,0,1000
linear,clean_blobs,1000,0.1,5,1,1.800013706088066e-06,0,1000
quadtree,clean_blobs,1000,0.1,5,1,2.500019036233425e-06,0,1000
boxgraph,clean_blobs,1000,0.1,5,1,2.4999608285725117e-06,0,1000
linear,clean_blobs,1000,0.1,5,2,1.9000144675374031e-06,0,1000
quadtree,clean_blobs,1000,0.1,5,2,2.600019797682762e-06,0,1000
boxgraph,clean_blobs,1000,0.1,5,2,2.400018274784088e-06,0,1000
linear,clean_blobs,1000,0.15,5,0,1.7999554984271526e-06,0,1000
quadtree,clean_blobs,1000,0.15,5,0,2.400018274784088e-06,0,1000
boxgraph,clean_blobs,1000,0.15,5,0,2.400018274784088e-06,0,1000
linear,clean_blobs,1000,0.15,5,1,1.800013706088066e-06,0,1000
quadtree,clean_blobs,1000,0.15,5,1,2.4999608285725117e-06,0,1000
boxgraph,clean_blobs,1000,0.15,5,1,2.500019036233425e-06,0,1000
linear,clean_blobs,1000,0.15,5,2,1.800013706088066e-06,0,1000
quadtree,clean_blobs,1000,0.15,5,2,2.300017513334751e-06,0,1000
boxgraph,clean_blobs,1000,0.15,5,2,2.400018274784088e-06,0,1000
linear,clean_blobs,5000,0.03,5,0,2.400018274784088e-06,0,5000
quadtree,clean_blobs,5000,0.03,5,0,5.500041879713535e-06,0,5000
boxgraph,clean_blobs,5000,0.03,5,0,5.500041879713535e-06,0,5000
linear,clean_blobs,5000,0.03,5,1,4.699977580457926e-06,0,5000
quadtree,clean_blobs,5000,0.03,5,1,5.099980626255274e-06,0,5000
boxgraph,clean_blobs,5000,0.03,5,1,5.099980626255274e-06,0,5000
linear,clean_blobs,5000,0.03,5,2,4.599976819008589e-06,0,5000
quadtree,clean_blobs,5000,0.03,5,2,5.300040356814861e-06,0,5000
boxgraph,clean_blobs,5000,0.03,5,2,5.099980626255274e-06,0,5000
